Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-030399,2020-07,07/12/2020 01:10,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,4566,KENNERLY AVE,56, , , , ,892592.8,1030752
20-030408,2020-07,07/12/2020 01:22,Y, , ,1, ,130000,2,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",5828,VICTORIA AVE,41, , ,5828,VICTORIA,881677.1,1017108
20-030410,2020-07,07/12/2020 01:32,Y, , ,1, , 10000,6,HOMICIDE,8600,GOODFELLOW BLVD,73, , , , ,890828.6,1050190
20-030402,2020-07,07/12/2020 01:35,Y, , ,1, , 43013,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,0,ASHLAND AVE / N NEWSTEAD AVE,56, , , , ,895053.3,1032063
20-030406,2020-07,07/12/2020 01:40,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,948,MAPLE PL,48, , ,948,MAPLE,879671.5,1029537
20-030877,2020-07,07/12/2020 02:20,Y, , ,1, , 51222,1,BURGLARY-RESIDENCE/NIT/UNLAW ENT/UNOCCUPIED,4936,EICHELBERGER ST,6, , ,4936,EICHELBERGER,882987.1,1000423
20-030411,2020-07,07/12/2020 02:35,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,N BROADWAY / WASHINGTON AVE,35, , , , ,909309,1018339
20-030426,2020-07,07/12/2020 03:00,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3700,OREGON AVE,19, , ,3700,OREGON,0,0
20-030444,2020-07,07/12/2020 03:06,Y, , ,1, , 52212,2,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE,4592,MANCHESTER AVE,39, ,JIFF LUBE,4592,MANCHESTER,887939.2,1016898
20-030416,2020-07,07/12/2020 03:31,Y, , ,1, , 69702,4,LARCENY-ALL OTHER UNDER $500,1310,N GRAND BLVD,77, , ,1310,GRAND,898106.7,1024167
20-030434,2020-07,07/12/2020 03:35,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,2346,S COMPTON AVE,25, , ,2346,COMPTON,896255.4,1010202
20-030418,2020-07,07/12/2020 03:35,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5223,GOODFELLOW BLVD,76, ,#1131094,5223,GOODFELLOW,888282.4,1045528
20-030419,2020-07,07/12/2020 03:45,Y, , ,1, , 38111,4,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,411,N 20TH ST,36, ,@STREETSIDE,405,20TH,903611.1,1019495
20-030568,2020-07,07/12/2020 03:50,Y, , ,1, , 52222,2,BURGLARY-BUSINESS/NIT/UNLAW ENT/UNOCCUPIED,900,S SARAH ST,39, , ,900,SARAH,892021.8,1017877
20-030417,2020-07,07/12/2020 03:55,Y, , ,1, , 72140,1,AUTO THEFT-TRUCK/PERM RETNT/ATTEMPT,4007,ROBERT AVE,4, ,DRIVEWAY,4007,ROBERT,884675.8,993112.3
20-030430,2020-07,07/12/2020 04:33,Y, , ,1, , 91303,4,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,1200,MARKET ST,36, ,CITY HALL,1200,MARKET,906055.1,1017127
20-030430,2020-07,07/12/2020 04:33,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,1200,MARKET ST,36, ,CITY HALL,1200,MARKET,906055.1,1017127
20-030430,2020-07,07/12/2020 04:33,Y, , ,1, , 41103,4,AGG.ASSAULT-FIREARM/PUBL.OFFICIAL 3RD DEGREE,1200,MARKET ST,36, ,CITY HALL,1200,MARKET,906055.1,1017127
20-030430,2020-07,07/12/2020 04:33,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,1200,MARKET ST,36, ,CITY HALL,1200,MARKET,906055.1,1017127
20-030430,2020-07,07/12/2020 04:33,Y, , ,1, , 91303,4,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,1200,MARKET ST,36, ,CITY HALL,1200,MARKET,906055.1,1017127
20-030780,2020-07,07/12/2020 08:08,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,0,LINDELL BLVD / N SARAH ST,38, , , , ,892822,1021958
20-030433,2020-07,07/12/2020 08:45,Y, , ,1, ,250000,1,LOITERING-BEGGING,900,LOUGHBOROUGH AVE,1,CARONDOLET NEIGHBORHOOD,HIGHWAY 55 NORTHBOUND EXIT RAMP,900,LOUGHBOROUGH,888861.4,991772.8
20-031854,2020-07,07/12/2020 09:10,Y, , ,1, ,115100,2,FRAUD-STEALING BY DECEIT/OVER $150,3414,MANHATTAN AVE,10, , ,3414,MANHATTAN,872918.3,1008689
20-030436,2020-07,07/12/2020 09:30,Y, , ,1, ,250000,1,LOITERING-BEGGING,900,LOUGHBOROUGH AVE,1,CARONDOLET NEIGHBORHOOD,HIGHWAY 55 NORTHBOUND EXIT RAMP,900,LOUGHBOROUGH,888861.4,991772.8
20-030450,2020-07,07/12/2020 09:30,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,200,S TUCKER BLVD,35,JUSTICE CENTER,@CITY JUSTICE CENTER,200,TUCKER,906343.9,1016785
20-030445,2020-07,07/12/2020 09:50,Y, , ,1, , 72113,1,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,3718,BATES ST,3, ,ALLEY PARKING PAD,3718,BATES,889589.5,996393.4
20-030483,2020-07,07/12/2020 10:00,Y, , ,1, , 38421,3,ROBBERY CARJACKING /STRNGARM/NO INJ/SUCCESSFUL,2202,KEOKUK ST,18, , ,2202,KEOKUK,898744.3,1001532
20-030471,2020-07,07/12/2020 10:00,Y, , ,1, , 31111,1,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,0,ALABAMA AVE / MARCEAU ST,2, , ,110,MARCEAU,885930.4,987600.1
20-030453,2020-07,07/12/2020 10:05,Y, , ,1, , 91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,4949,BARNES JEWISH HOSPITAL PLZ,38, ,@HOSPITAL - BARNES JEWISH,1, ,887396.8,1020150
20-030446,2020-07,07/12/2020 10:40,Y, , ,1, ,250000,1,LOITERING-BEGGING,900,LOUGHBOROUGH AVE,1,CARONDOLET NEIGHBORHOOD,HIGHWAY 55 NORTHBOUND EXIT RAMP,900,LOUGHBOROUGH,888861.4,991772.8
20-030447,2020-07,07/12/2020 11:00,Y, , ,1, ,250000,1,LOITERING-BEGGING,0,CARONDELET BLVD / I 55 NORTHBO,1,CARONDOLET NEIGHBORHOOD,HIGHWAY 55 NORTHBOUND EXIT RAMP, , ,885618.8,990297.1
20-030449,2020-07,07/12/2020 11:15,Y, , ,1, ,250000,1,LOITERING-BEGGING,900,LOUGHBOROUGH AVE,1,CARONDOLET NEIGHBORHOOD,HIGHWAY 55 NORTHBOUND EXIT RAMP,900,LOUGHBOROUGH,888861.4,991772.8
20-030456,2020-07,07/12/2020 11:20,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,1401,CHOUTEAU AVE,36, ,@BP- 14TH AND CHOUTEAU,1401,CHOUTEAU,904521.8,1014630
20-030459,2020-07,07/12/2020 11:20,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,ENRIGHT AVE / WALTON AVE,54, , , , ,889487.6,1026393
20-030464,2020-07,07/12/2020 11:50,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,2014,GRAVOIS AVE,22,TIMELESS TECHS, ,2014,GRAVOIS,900929.1,1009834
20-030474,2020-07,07/12/2020 12:17,Y, , ,1, , 63701,1,LARCENY-SHOPLIFT UNDER $500,5550,S GRAND BLVD,1, ,@WALGREENS - 5550 S GRAND,5550,GRAND,890701.1,995885.1
20-030468,2020-07,07/12/2020 13:14,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,3919,PARNELL ST,65, , ,3919,PARNELL,902400.1,1029389
20-030480,2020-07,07/12/2020 14:02,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,1518,ARLINGTON AVE,50, , ,1518,ARLINGTON,885863.3,1032075
20-030851,2020-07,07/12/2020 15:00,Y, , ,1, , 65601,3,"LARCENY-MTR VEH PARTS $500 - $24,999",2705,POTOMAC ST,19, , ,2705,POTOMAC,897838.4,1004527
20-030490,2020-07,07/12/2020 15:21,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,711,N EUCLID AVE,53, , ,711,EUCLID,888503.4,1026317
20-030490,2020-07,07/12/2020 15:21,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,711,N EUCLID AVE,53, , ,711,EUCLID,888503.4,1026317
20-030489,2020-07,07/12/2020 15:27,Y, , ,1, ,229999,1,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,6120,MICHIGAN AVE,1, , , , ,892128.5,992710.1
20-030492,2020-07,07/12/2020 15:35,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,E CARRIE AVE / I 70 EASTBOUND,85, , , , ,900421.5,1037939
20-030494,2020-07,07/12/2020 15:45,Y, , ,1, , 71030,6,AUTO THEFT-PERM RETNT/JOY RIDE,8815,N BROADWAY,74, , , , ,897615.1,1052696
20-030593,2020-07,07/12/2020 16:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2661,NEBRASKA AVE,25, , ,2661,NEBRASKA,897275.4,1009371
20-030498,2020-07,07/12/2020 16:15,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,BIRCHER BLVD / MARCUS AVE,69, ,ROADWAY, , ,895290.6,1037310
20-030515,2020-07,07/12/2020 17:00,Y, , ,1, ,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",3963,OLIVE ST,38, , ,3963,OLIVE,894060.4,1022812
20-030812,2020-07,07/12/2020 17:00,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,2115,RUSSELL AVE,23, , ,2115,RUSSELL,900863.9,1011189
20-030606,2020-07,07/12/2020 17:00,Y, , ,1, , 64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,2110,MENARD ST,21, , ,2110,MENARD,903863.3,1010118
20-030504,2020-07,07/12/2020 17:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,GRAVOIS AVE / HAMPTON AVE,4, , , , ,879097.3,994408.1
20-030501,2020-07,07/12/2020 17:05,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,PAGE BLVD / N SPRING AVE,77, , , , ,897503.1,1024468
20-030502,2020-07,07/12/2020 17:25,Y, , ,1, , 51130,1,BURGLARY-RESIDENCE/DAY/ATT FORCE ENTRY,6819,MINNESOTA AVE,1, , ,6819,MINNESOTA,890544.1,990741.4
20-030518,2020-07,07/12/2020 17:45,Y, , ,1, , 91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,4112,MANCHESTER AVE,39,JUST JOHNS,@BAR- JUST JOHNS,4023,BLAINE,891392.9,1017424
20-030503,2020-07,07/12/2020 17:51,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,4014,UNION BLVD,70, ,@NPD,4014,UNION,890074.4,1037079
20-030538,2020-07,07/12/2020 18:00,Y, , ,1, , 73313,1,AUTO THEFT-MTRCYCLE/PERM RETNT/UNRECOV OVER 48,8520,S BROADWAY,2,TUCKERS BAR, ,8520,BROADWAY,887303.3,985686.6
20-030624,2020-07,07/12/2020 18:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2664,NEBRASKA AVE,24, , ,2664,NEBRASKA,897452.4,1009284
20-030506,2020-07,07/12/2020 18:00,Y, , ,1, ,115100,5,FRAUD-STEALING BY DECEIT/OVER $150,510,N SARAH ST,38, , ,510,SARAH,893348.7,1023195
20-030508,2020-07,07/12/2020 18:20,Y, , ,1, , 71030,1,AUTO THEFT-PERM RETNT/JOY RIDE,548,EILER ST,1, , ,548,EILER,892440.4,995345.6
20-030517,2020-07,07/12/2020 18:30,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6216,CARLSBAD AVE,5, ,ALLEY WAY BEHIND 6216 CARLSBAD AVE,6216,CARLSBAD,884063.3,997244.8
20-030520,2020-07,07/12/2020 18:30,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,N 6TH ST / WASHINGTON AVE,35, , , , ,908954.4,1018431
20-030514,2020-07,07/12/2020 18:40,Y, , ,1, ,152200,3,WEAPONS-CITY VIOL/DISCHRGING IN CITY,2115,ALLEN AVE,23, , ,2115,ALLEN,900895.3,1011557
20-030577,2020-07,07/12/2020 19:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2667,NEBRASKA AVE,25, , ,2667,NEBRASKA,897265.6,1009294
20-030608,2020-07,07/12/2020 19:00,Y, , ,1, , 52312,5,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,5451,DELMAR BLVD,49, , ,5451,DELMAR,883561.5,1027076
20-030563,2020-07,07/12/2020 19:00,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,N 10TH ST / LUCAS AVE,35, , , , ,907752.3,1019142
20-030559,2020-07,07/12/2020 19:30,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4841,HAMBURG AVE,4, , ,4841,HAMBURG,878894.7,993394.8
20-030643,2020-07,07/12/2020 20:00,Y, , ,1, , 71040,1,AUTO THEFT-PERM RETNT/ATTEMPT,4333,NEBRASKA AVE,17, , ,4333,NEBRASKA,895360.9,999802.9
20-030573,2020-07,07/12/2020 20:00,Y, , ,1, , 64711,1,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,5507,IDAHO AVE,1, , ,5507,IDAHO,891802.5,995576
20-030700,2020-07,07/12/2020 20:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2935,RUSSELL AVE,26, , ,2935,RUSSELL,897397,1011957
20-030519,2020-07,07/12/2020 20:01,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,0,S COMPTON AVE / RUSSELL BLVD,26, , , , ,896518.8,1012057
20-030521,2020-07,07/12/2020 20:15,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,8924,HALLS FERRY RD,74, , ,8924,HALLS FERRY,894886.9,1051126
20-030523,2020-07,07/12/2020 20:20,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",2310,MCCAUSLAND AVE,10,WALGREENS,@WALGREENS - MCCAUSLAND AND MANCHEST,2310,MCCAUSLAND,874938.3,1013267
20-030530,2020-07,07/12/2020 20:38,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,400,S TAYLOR AVE,38, , ,250,DE BALIVIERE,889210.6,1020183
20-031965,2020-07,07/12/2020 21:00,Y, , ,1, , 69702,6,LARCENY-ALL OTHER UNDER $500,0,LABADIE AVE / WHITTIER ST,56, , , , ,896494.3,1030022
20-030524,2020-07,07/12/2020 21:05,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,212,S GRAND BLVD,37, , ,212,GRAND,896219.8,1019300
20-030637,2020-07,07/12/2020 21:10,Y, , ,1, , 41011,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,459,EICHELBERGER ST,16, ,APTA LEFT DOOR,459,EICHELBERGER,893200.5,995465.1
20-030526,2020-07,07/12/2020 21:25,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,3321,UNION BLVD,50, , , , ,888717.1,1035557
20-030527,2020-07,07/12/2020 21:40,Y, , ,1, , 38112,4,ROBBERY CARJACKING /FIREARM USED/ATTEMPT,508,PINE ST,35,JIMMY JOHNS,JIMMY JOHNS,700,CLARK,908732.9,1017197
20-030529,2020-07,07/12/2020 21:45,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1611,HODIAMONT AVE,50, , ,2505,HODIAMONT,881618.4,1035236
20-030532,2020-07,07/12/2020 21:48, , , ,-1, , 10000,4,HOMICIDE,809,COLE ST,62, , , , ,908631.4,1019998
20-030532,2020-07,07/12/2020 21:48,Y, , ,1, , 10000,4,HOMICIDE,809,COLE ST,62, , , , ,908631.4,1019998
20-030532,2020-07,07/12/2020 21:48,Y, , ,1, , 38112,4,ROBBERY CARJACKING /FIREARM USED/ATTEMPT,809,COLE ST,62, , , , ,908631.4,1019998
20-030558,2020-07,07/12/2020 22:00,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3736,DUNNICA AVE,16, , ,3736,DUNNICA,892140.6,1002837
20-030531,2020-07,07/12/2020 22:05,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,N KINGSHIGHWAY BLVD / SAINT LO,55, , , , ,890079.4,1033431
20-030533,2020-07,07/12/2020 22:43,Y, , ,1, , 31111,1,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,7151,VERMONT AVE,1, ,RESIDENCE, , ,888892.8,990395
20-030535,2020-07,07/12/2020 22:50,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,6472,MURDOCH AVE,8, , ,6472,MURDOCH,876578.5,1003194
20-030707,2020-07,07/12/2020 23:00,Y, , ,1, , 66701,2,LARCENY-BICYCLES UNDER $500,4401,THOLOZAN AVE,15, , ,4401,THOLOZAN,887158.5,1005077
20-030579,2020-07,07/12/2020 23:00,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4715,MINNESOTA AVE,17, , ,4715,MINNESOTA,894591.2,996757.6
20-030738,2020-07,07/12/2020 23:00,Y, , ,1, , 65601,2,"LARCENY-MTR VEH PARTS $500 - $24,999",3957,CHIPPEWA ST,15, , ,3957,CHIPPEWA,890570.4,1003633
20-030661,2020-07,07/12/2020 23:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,4618,ADKINS AVE,5, , ,4618,ADKINS,888221.2,1000946
20-030572,2020-07,07/12/2020 23:00,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4190,C D BANKS AVE,58, , ,4190,C D BANKS,893557.9,1025460
20-030725,2020-07,07/12/2020 23:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3620,KOSCIUSKO ST,18, , ,3620,KOSCIUSKO,901409,1002975
20-030541,2020-07,07/12/2020 23:15,Y, , ,1, , 41015,5,ASSLT-AGGRAV-FIREARM-2ND-ADULT-DOMESTIC,5465,ASHLAND AVE,50, , ,5465,ASHLAND,887236.3,1036163
20-030548,2020-07,07/12/2020 23:15,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1500,E 14TH ST,60, , ,811,9TH,907285.3,1022535
20-030539,2020-07,07/12/2020 23:30,Y, , ,1, , 91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1928,N 14TH ST,63, , ,1928,14TH,907512.6,1023784
20-030540,2020-07,07/12/2020 23:34,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,NATURAL BRIDGE AVE / PARNELL S,60, , , , ,903275.5,1028580
20-031204,2020-07,07/13/2020 00:01,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1114,N SARAH ST,58, , ,1114,SARAH,894662,1025366
20-030542,2020-07,07/13/2020 00:10,Y, , ,1, ,266510,2,PUBLIC ORDER-TRESPASSING,1615,S KINGSHIGHWAY BLVD,12,QUIK TRIP, ,1615,KINGSHIGHWAY,886749.4,1014742
20-031013,2020-07,07/13/2020 00:10,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1615,S KINGSHIGHWAY BLVD,12,QUIK TRIP, ,1615,KINGSHIGHWAY,886749.4,1014742
20-030567,2020-07,07/13/2020 00:30,Y, , ,1, , 72113,1,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,6211,GRAVOIS AVE,6, , ,4123,DAVIS,883515.8,998423
20-030547,2020-07,07/13/2020 00:30,Y, , ,1, , 91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",6045,HARNEY AVE,76, , ,6045,HARNEY,890274.2,1046383
20-030544,2020-07,07/13/2020 00:47,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,N 4TH ST / WASHINGTON AVE,35, , , , ,909581.6,1018292
20-030627,2020-07,07/13/2020 01:00,Y, , ,1, , 52312,4,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,1519,PENROSE ST,65, , ,1519,PENROSE,904653.5,1031620
20-030666,2020-07,07/13/2020 01:00,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,0,S 11TH ST / SPRUCE ST,35, , , , ,906542.5,1016191
20-030549,2020-07,07/13/2020 01:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,NEBRASKA AVE / SIDNEY ST,24, ,ROAD, , ,897524.5,1009959
20-030550,2020-07,07/13/2020 01:43,Y, , ,1, ,152200,1,WEAPONS-CITY VIOL/DISCHRGING IN CITY,7726,MINNESOTA AVE,2, , ,301,COURTOIS,888538.7,988174.1
20-030664,2020-07,07/13/2020 02:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4123,ENRIGHT AVE,58, , ,4123,ENRIGHT,893805.9,1024536
20-030553,2020-07,07/13/2020 02:50,Y, , ,1, , 64711,1,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,5005,ALABAMA AVE,16, , ,5005,ALABAMA,892862.9,996536
20-030671,2020-07,07/13/2020 03:00,Y, , ,1, , 51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3746,CHIPPEWA ST,16, ,APT 9,3746,CHIPPEWA,892043.8,1003232
20-030846,2020-07,07/13/2020 03:00,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,6923,MITCHELL AVE,43, , ,6923,MITCHELL,875469.9,1015761
20-030560,2020-07,07/13/2020 03:00,Y, , ,1, ,266510,1,PUBLIC ORDER-TRESPASSING,4101,GRAVOIS AVE,16, ,QUIKTRIP,4101,GRAVOIS,889849,1003566
20-030554,2020-07,07/13/2020 03:00,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,N 20TH ST / MARKET ST,36, , , , ,903317.6,1018382
20-030557,2020-07,07/13/2020 03:35,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2801,N KINGSHIGHWAY BLVD,52, ,PIMPED OUT PICKLES,5000,MAFFITT,889647.6,1032918
20-032115,2020-07,07/13/2020 04:00,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,N EUCLID AVE / LEDUC ST,55, , , , ,889694.1,1031014
20-030679,2020-07,07/13/2020 04:35,Y, , ,1, , 52212,2,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE,4112,MANCHESTER AVE,39, ,@BAR- JUST JOHNS,4112,MANCHESTER,891392.9,1017424
20-030646,2020-07,07/13/2020 05:00,Y, , ,1, , 64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",3638,CALIFORNIA AVE,19, , ,3638,CALIFORNIA,897185.8,1003435
20-030561,2020-07,07/13/2020 05:10,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4129,MINNESOTA AVE,16, , ,4129,MINNESOTA,895202.4,1000522
20-030565,2020-07,07/13/2020 05:54,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,N 19TH ST / BENTON ST,60, , ,1836,BENTON,905396.8,1025029
20-030574,2020-07,07/13/2020 06:00,Y, , ,1, , 64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",3423,VIRGINIA AVE,30, , ,3423,VIRGINIA,894953.1,1005296
20-030566,2020-07,07/13/2020 06:15,Y, , ,1, , 65711,4,LARCENY-MTR VEH PARTS UNDER $500 /ATTEMPT,0,N 15TH ST / PINE ST,36, , , , ,905381.8,1018367
20-030581,2020-07,07/13/2020 06:30,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3809,KEOKUK ST,16, , ,4101,GRAVOIS,891549.5,1002741
20-030575,2020-07,07/13/2020 07:23,Y, , ,1, , 63701,3,LARCENY-SHOPLIFT UNDER $500,2600,CHOUTEAU AVE,31,QUIKTRIP, ,2600,CHOUTEAU,900507.7,1015458
20-030605,2020-07,07/13/2020 08:00,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,7036,CLAYTON RD,44, , ,7036,CLAYTON,875593.3,1019437
20-030629,2020-07,07/13/2020 08:00,Y, , ,1, , 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",6691,MANCHESTER AVE,43,SUMNERONE, ,6691,MANCHESTER,876602.5,1014359
20-030659,2020-07,07/13/2020 08:00,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3969,WASHINGTON AVE,38, , ,3969,WASHINGTON,894379.8,1023297
20-030587,2020-07,07/13/2020 08:00,Y, , ,1, , 73440,3,AUTO THEFT-OTHR VEH/PERM RETNT/ATTEMPT,2400,S JEFFERSON AVE,23, , ,2400,JEFFERSON,899570.5,1009779
20-030586,2020-07,07/13/2020 08:00,Y, , ,1, ,142310,4,DESTRUCTION OF PROPERTY-MALICIOUS/PUBLIC PROP,200,S TUCKER BLVD,35, ,@CITY JUSTICE CENTER,200,TUCKER,906343.9,1016785
20-030591,2020-07,07/13/2020 08:03,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,1501,HAMPTON AVE,42, , ,1501,HAMPTON,880637.9,1016164
20-030585,2020-07,07/13/2020 08:25,Y, , ,1, , 52112,5,BURGLARY-BUSINESS/DAY/FORCE ENT/UNOCCUPIED,2516,ANNIE MALONE DR,57, , , , ,895494.9,1028693
20-030632,2020-07,07/13/2020 08:30,Y, , ,1, , 64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",3442,WYOMING ST,25, , ,3442,WYOMING,894489.6,1006884
20-030596,2020-07,07/13/2020 09:10,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,CALVARY AVE / W FLORISSANT AVE,71, , , , ,894815,1041723
20-030594,2020-07,07/13/2020 09:11,Y, , ,1, , 73313,3,AUTO THEFT-MTRCYCLE/PERM RETNT/UNRECOV OVER 48,2254,NEBRASKA AVE,24, , ,2254,NEBRASKA,897646,1010573
20-030597,2020-07,07/13/2020 09:22,Y, , ,1, , 91303,5,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,4311,PAGE BLVD,58, , ,4311,PAGE,893256.6,1026977
20-030597,2020-07,07/13/2020 09:22,Y, , ,1, , 91303,5,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,4311,PAGE BLVD,58, , ,4311,PAGE,893256.6,1026977
