Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-014391,2020-07,03/29/2020 01:00,Y, , ,1, ,185000,5,DRUGS-OBTAIN BY FRAUD/FORGERY,3925,LINDELL BLVD,38,CVS PHARMACY, ,3925,LINDELL,894199,1021580
20-033012,2020-07,04/01/2020 12:00,Y, , ,1, , 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3319,LEMP AVE,22, , ,3319,LEMP,900593.7,1005078
20-014794,2020-07,04/02/2020 20:20,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,503,DAVIS ST,2, , ,503,DAVIS,886977.4,987584.6
20-015365,2020-07,04/07/2020 18:15,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,212,N KINGSHIGHWAY BLVD,38, , ,212,KINGSHIGHWAY,887710.9,1023513
20-015473,2020-07,04/08/2020 15:01, , , ,1, ,182260,4,DRUGS-POSSESSION/METHAMPHETAMINE,1501,WASHINGTON,36, , ,1501,WASHINGTON,0,0
20-015473,2020-07,04/08/2020 15:01, , , ,-1, ,182400,4,DRUGS-POSSESSION/MARIJUANA,1501,WASHINGTON,36, , ,1501,WASHINGTON,0,0
20-015521,2020-07,04/08/2020 20:45,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",7610,TENNESSEE AVE,1, , ,7610,TENNESSEE,886852.7,990046.5
20-015741,2020-07,04/10/2020 10:00, , , ,-1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,5005, ,52, , ,5005,MAFFITT,0,0
20-029832,2020-07,04/10/2020 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,5374,PRANGE AVE,71, , ,5374,PRANGE,891101,1040405
20-029787,2020-07,04/14/2020 12:00,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,3238,MICHIGAN AVE,30, , ,3238,MICHIGAN,895976.4,1006331
20-027870,2020-07,04/16/2020 15:36,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,6112,W FLORISSANT AVE,76, , ,6112,FLORISSANT,890513.4,1047822
20-030635,2020-07,04/17/2020 13:18,Y, , ,1, , 95100,4,"STALKING (HARASSMENT ONLY, NO THREAT)",1421,N JEFFERSON AVE,59, , ,1421,JEFFERSON,902079.3,1023639
20-032118,2020-07,04/20/2018 14:45,Y, , ,1, ,103000,1,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,3855,MERAMEC ST,16, , ,3855,MERAMEC,891785.4,1001560
20-017011,2020-07,04/20/2020 17:24,Y, , ,1, , 41014,6,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,5622,W FLORISSANT AVE,72, , ,5622,FLORISSANT,892956.1,1044271
20-030616,2020-07,04/21/2020 16:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4402,LEE AVE,68, , ,4402,LEE,896426.4,1034571
20-031085,2020-07,04/27/2020 09:52,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,421,ANTELOPE ST,74, , ,421,ANTELOPE,897800.7,1046275
20-031214,2020-07,05/01/2020 02:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1133,WASHINGTON AVE,35, ,NUISANCE ABATEMENT PROPERTY,1133,WASHINGTON,907003.4,1019090
20-031209,2020-07,05/01/2020 02:30,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,912,CASS AVE,62, ,NUISANCE ABATEMENT PROPERTY,912,CASS,908857.1,1022102
20-032463,2020-07,05/01/2020 12:00,Y, , ,1, ,102000,6,FORGERY-POSSESSION OF FORGING INSTRUMENT,4223,COLLEGE AVE,67, , ,4223,COLLEGE,900250.2,1033058
20-018517,2020-07,05/01/2020 12:08,Y, , ,1, , 91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,4221,DR MARTIN LUTHER KING DR,57, , ,4221,DR MARTIN LUTHER KING,893983.1,1027462
20-018592,2020-07,05/01/2020 23:03,Y, , ,1, ,263299,3,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,1100,CHOUTEAU AVE,34, , ,1375,BROADWAY,905592.6,1014334
20-030259,2020-07,05/02/2020 12:12,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,421,ANTELOPE ST,74, , ,421,ANTELOPE,897800.7,1046275
20-030513,2020-07,05/02/2020 15:16,Y, , ,1, ,130000,3,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",2908,TEXAS AVE,30, , ,2920,TEXAS,898864.9,1007781
20-018762,2020-07,05/03/2020 01:30,Y, , ,1, ,266510,5,PUBLIC ORDER-TRESPASSING,4208,MARYLAND AVE,38, , ,4208,MARYLAND,892097.6,1022476
20-031193,2020-07,05/03/2020 20:26,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1304,N 10TH ST,62, ,@COCHRAN PROJECTS,1304,10TH,908532.9,1021407
20-031879,2020-07,05/04/2020 10:51,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4814,SIGEL AVE,6, , ,4814,SIGEL,883207.6,999454.6
20-031188,2020-07,05/04/2020 16:50,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,919,N LEONARD AVE,77, ,NUISANCE ABATEMENT PROPERTY,919,LEONARD,898664.9,1022408
20-031229,2020-07,05/04/2020 19:33,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1839,BIDDLE ST,61, ,NUISANCE ABATEMENT PROPERTY,1839,BIDDLE,905293.2,1021624
20-031930,2020-07,05/05/2020 12:00,Y, , ,1, , 69702,4,LARCENY-ALL OTHER UNDER $500,2617,MADISON ST,59, , ,2617,MADISON,902121.9,1024774
20-030975,2020-07,05/05/2020 12:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3541,BINGHAM AVE,16, , ,3541,BINGHAM,893358.1,999917.8
20-030985,2020-07,05/06/2020 04:25,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7870,RIO TINTO PL,1, , ,7870,RIO TINTO,886071.1,989538.9
20-031843,2020-07,05/06/2020 08:07,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7450,HAMPTON AVE,6, ,@SCHNUCKS - HAMPTON AND GRAVOIS,7450,HAMPTON,879164.2,994830.9
20-021615,2020-07,05/06/2020 23:00, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3928,FLORISSANT,65, , ,3928,FLORISSANT,0,0
20-031025,2020-07,05/07/2020 10:55,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,727,COLE ST,62, ,NUISANCE ABATEMENT PROPERTY,727,COLE,908891.1,1019931
20-031022,2020-07,05/07/2020 18:48,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,205,N 9TH ST,35, ,@MARK TWAIN HOTEL,205,9TH,907619.9,1017799
20-033536,2020-07,05/08/2020 08:00,Y, , ,1, ,264100,1,HEALTH-SANITATION VIOL,4461,OSCEOLA ST,5, , ,4461,OSCEOLA,886076.9,1003628
20-031012,2020-07,05/08/2020 10:15,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,205,N 9TH ST,35, ,@MARK TWAIN HOTEL,205,9TH,907619.9,1017799
20-030827,2020-07,05/10/2020 18:52,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,815,COLE ST,62, ,NUISANCE ABATEMENT PROPERTY,815,COLE,908613.1,1020002
20-030162,2020-07,05/10/2020 20:00,Y, , ,1, , 69702,4,LARCENY-ALL OTHER UNDER $500,3808,N 23RD ST,65, , ,3808,23RD,903692.3,1029353
20-031221,2020-07,05/10/2020 23:30,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2205,ANGELICA ST,65, ,NUISANCE ABATEMENT PROPERTY,2205,ANGELICA,903313.7,1030698
20-029575,2020-07,05/12/2020 00:01,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3730,GOODFELLOW BLVD,70, ,@RALLYS- GOODFELLOW,3730,GOODFELLOW,885748.6,1038969
20-030819,2020-07,05/12/2020 10:25,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1222,JOSEPHINE BAKER BLVD,77, ,NUISANCE ABATEMENT PROPERTY,1222,JOSEPHINE BAKER,898774.3,1023679
20-032407,2020-07,05/12/2020 20:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7858,RIO TINTO PL,1, , ,7858,RIO TINTO,886071.1,989538.9
20-030129,2020-07,05/12/2020 21:00,Y, , ,1, , 64701,6,LARCENY-FROM MTR VEH UNDER $500,0,ADELAIDE AVE / W FLORISSANT AV,68, , ,4615,SHIRLEY,900102.5,1034716
20-029576,2020-07,05/14/2020 02:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4609,LABADIE AVE,56, , ,4609,LABADIE,893038.4,1032055
20-032420,2020-07,05/15/2020 08:45,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4101,GRAVOIS AVE,16, ,@QT - GRAVOIS / CHIPPEWA,4101,GRAVOIS,889849,1003566
20-031334,2020-07,05/15/2020 12:00,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,4909,LACLEDE AVE,38, , ,4909,LACLEDE,888051.1,1022111
20-029574,2020-07,05/16/2020 17:55,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6124,N BROADWAY,79, , ,6124,BROADWAY,900558.8,1038456
20-020687,2020-07,05/16/2020 21:11,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,S BOYLE AVE / I 64 WESTBOUND,38, ,@FOREST PARK SOUTHEAST NEIGHBORHOOD, , ,890669.7,1018823
20-020762,2020-07,05/17/2020 07:00, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1101,18TH,61, , ,1101,18TH,0,0
20-032083,2020-07,05/17/2020 11:06,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3106,DELMAR BLVD,37, ,NUISANCE ABATEMENT PROPERTY,3106,DELMAR,899269.4,1021533
20-032074,2020-07,05/18/2020 07:45,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1000,WASHINGTON AVE,35, ,NUISANCE ABATEMENT PROPERTY,1000,WASHINGTON,907483,1018737
20-031884,2020-07,05/20/2020 12:00,Y, , ,1, ,101000,6,FORGERY,4613,PENROSE ST,69, , ,4613,PENROSE,895149.8,1035689
20-032647,2020-07,05/20/2020 16:00,Y, , ,1, , 69602,4,"LARCENY-ALL OTHER $500 - $24,999",208,N 9TH ST,35, , ,208,9TH,907701.2,1017745
20-031914,2020-07,05/20/2020 22:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3458,ILLINOIS AVE,18, , ,3458,ILLINOIS,899646.9,1004208
20-031530,2020-07,05/21/2020 11:00,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,5624,GREER AVE,50, , ,5624,GREER,885947.9,1036495
20-021469,2020-07,05/21/2020 17:08,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,7,S VANDEVENTER AVE,38, , ,7,VANDEVENTER,893826.1,1020467
20-032056,2020-07,05/22/2020 22:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,709,BIDDLE ST,62, ,NUISANCE ABATEMENT PROPERTY,709,BIDDLE,909174.2,1020603
20-030149,2020-07,05/23/2020 12:00,Y, , ,1, ,111110,4,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,3106,DELMAR BLVD,37, , ,3106,DELMAR,899269.4,1021533
20-033809,2020-07,05/23/2020 23:04,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4500,N BROADWAY,64,ENERGY EXPRESS,NUISANCE ABATEMENT PROPERTY,4500,BROADWAY,905164,1033720
20-032410,2020-07,05/24/2020 00:01,Y, , ,1, , 43026,5,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,4910,PAGE BLVD,53, , ,4910,PAGE,888814.5,1029014
20-021892,2020-07,05/24/2020 16:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,711,N EUCLID AVE,53, , ,711,EUCLID,888503.4,1026317
20-031352,2020-07,05/24/2020 21:55,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1948,BENTON ST,60, ,NUISANCE ABATEMENT PROPERTY,1948,BENTON,905114.7,1025104
20-021934,2020-07,05/24/2020 21:59,Y, , ,1, ,263299,4,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,700,GRATIOT ST,35, , ,1726,DESTREHAN,907393.3,1014472
20-031381,2020-07,05/25/2020 00:30,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,917,OFALLON ST,62, ,NUISANCE ABATEMENT PROPERTY,917,OFALLON,908601.4,1021212
20-032047,2020-07,05/25/2020 14:15,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1419,CHAMBERS ST,63, ,NUISANCE ABATEMENT PROPERTY,1419,CHAMBERS,907280.9,1023820
20-031909,2020-07,05/25/2020 20:05,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,714,OFALLON ST,62, ,NUISANCE ABATEMENT PROPERTY,714,OFALLON,909240.9,1021042
20-029577,2020-07,05/25/2020 22:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4633,CARTER AVE,69, , ,4633,CARTER,895279.6,1036790
20-031388,2020-07,05/26/2020 03:36,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,716,OFALLON ST,62, ,NUISANCE ABATEMENT PROPERTY,716,OFALLON,909234.4,1021044
20-033149,2020-07,05/28/2020 11:00,Y, , ,1, , 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",4333,GOODFELLOW BLVD,70,ST LOUIS JOB CORPS CENTER, ,4333,GOODFELLOW,886191.1,1040939
20-022783,2020-07,05/28/2020 13:30,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,945,GOODFELLOW BLVD,48, , ,945,GOODFELLOW,881354,1029239
20-022942,2020-07,05/28/2020 15:00,Y, , ,1, , 32421,1,ROBBERY-RESIDENCE/STRNGARM/NO INJ/SUCCESS,4302,MICHIGAN AVE,17, , ,4302,MICHIGAN,894896.5,999514.5
20-022826,2020-07,05/29/2020 18:00,Y, , ,1, , 83000,4,ARSON-KNOWINGLY BURNING/SUCCESS,1915,OLIVE ST,36, ,HEADQUARTERS,1915,OLIVE,903703.7,1019090
